hh,mm,ss,mss,Power[W]
9,21,24,6,3.3299e-07
9,21,24,7,3.3299e-07
9,21,24,8,3.3301e-07
9,21,24,9,3.3301e-07
9,21,25,0,3.3302e-07
9,21,25,1,3.3302e-07
9,21,25,2,3.3304e-07
9,21,25,3,3.3304e-07
9,21,25,4,3.3305e-07
9,21,25,5,3.3305e-07
9,21,25,6,3.3307e-07
9,21,25,7,3.3307e-07
9,21,25,8,3.3307e-07
9,21,25,9,3.3307e-07
9,21,26,0,3.3309e-07
9,21,26,1,3.3309e-07
9,21,26,2,3.3310e-07
9,21,26,3,3.3310e-07
9,21,26,4,3.3312e-07
9,21,26,5,3.3312e-07
9,21,26,6,3.3313e-07
9,21,26,7,3.3313e-07
9,21,26,8,3.3314e-07
9,21,26,9,3.3314e-07
9,21,27,0,3.3315e-07
9,21,27,1,3.3315e-07
9,21,27,2,3.3317e-07
9,21,27,3,3.3317e-07
9,21,27,4,3.3318e-07
9,21,27,5,3.3318e-07
9,21,27,6,3.3320e-07
9,21,27,7,3.3320e-07
9,21,27,8,3.3320e-07
9,21,27,9,3.3320e-07
9,21,28,0,3.3323e-07
9,21,28,1,3.3323e-07
9,21,28,2,3.3324e-07
9,21,28,3,3.3324e-07
9,21,28,4,3.3326e-07
9,21,28,5,3.3326e-07
9,21,28,6,3.3327e-07
9,21,28,7,3.3327e-07
9,21,28,8,3.3328e-07
9,21,28,9,3.3328e-07
9,21,29,0,3.3330e-07
9,21,29,1,3.3330e-07
9,21,29,2,3.3331e-07
9,21,29,3,3.3331e-07
9,21,29,4,3.3332e-07
9,21,29,5,3.3332e-07
9,21,29,6,3.3334e-07
9,21,29,7,3.3334e-07
9,21,29,8,3.3336e-07
9,21,29,9,3.3336e-07
9,21,30,0,3.3337e-07
9,21,30,1,3.3337e-07
9,21,30,2,3.3338e-07
9,21,30,3,3.3338e-07
9,21,30,4,3.3340e-07
9,21,30,5,3.3340e-07
9,21,30,6,3.3341e-07
9,21,30,7,3.3341e-07
9,21,30,8,3.3343e-07
9,21,30,9,3.3343e-07
9,21,31,0,3.3344e-07
9,21,31,1,3.3344e-07
9,21,31,2,3.3346e-07
9,21,31,3,3.3346e-07
9,21,31,4,3.3348e-07
9,21,31,5,3.3348e-07
9,21,31,6,3.3348e-07
9,21,31,7,3.3348e-07
9,21,31,8,3.3350e-07
9,21,31,9,3.3350e-07
9,21,32,0,3.3351e-07
9,21,32,1,3.3351e-07
9,21,32,2,3.3352e-07
9,21,32,3,3.3352e-07
9,21,32,4,3.3354e-07
9,21,32,5,3.3354e-07
9,21,32,6,3.3355e-07
9,21,32,7,3.3355e-07
9,21,32,8,3.3356e-07
9,21,32,9,3.3356e-07
9,21,33,0,3.3357e-07
9,21,33,1,3.3357e-07
9,21,33,2,3.3359e-07
9,21,33,3,3.3359e-07
9,21,33,4,3.3360e-07
9,21,33,5,3.3360e-07
9,21,33,6,3.3361e-07
9,21,33,7,3.3361e-07
9,21,33,8,3.3362e-07
9,21,33,9,3.3362e-07
9,21,34,0,3.3363e-07
9,21,34,1,3.3363e-07
9,21,34,2,3.3364e-07
9,21,34,3,3.3364e-07
9,21,34,4,3.3366e-07
9,21,34,5,3.3366e-07
9,21,34,6,3.3367e-07
9,21,34,7,3.3367e-07
9,21,34,8,3.3369e-07
9,21,34,9,3.3369e-07
9,21,35,0,3.3371e-07
9,21,35,1,3.3371e-07
9,21,35,2,3.3372e-07
9,21,35,3,3.3372e-07
9,21,35,4,3.3373e-07
9,21,35,5,3.3373e-07
9,21,35,6,3.3375e-07
9,21,35,7,3.3375e-07
9,21,35,8,3.3376e-07
9,21,35,9,3.3376e-07
9,21,36,0,3.3377e-07
9,21,36,1,3.3377e-07
9,21,36,2,3.3378e-07
9,21,36,3,3.3378e-07
9,21,36,4,3.3379e-07
9,21,36,5,3.3379e-07
9,21,36,6,3.3380e-07
9,21,36,7,3.3380e-07
9,21,36,8,3.3381e-07
9,21,36,9,3.3381e-07
9,21,37,0,3.3382e-07
9,21,37,1,3.3382e-07
9,21,37,2,3.3383e-07
9,21,37,3,3.3383e-07
9,21,37,4,3.3385e-07
9,21,37,5,3.3385e-07
